1000000, 296.0, 296.0
1000001, 293.0, 293.0
1000002, None, None
1000003, None, None
1000004, 293.0, 293.0
1000005, 298.0, 298.0
1000006, 150.0, 150.0
1000007, None, None
1000008, None, None
1000009, None, None
1000010, None, None
1000011, None, None
1000012, None, None
1000013, None, None
1000014, None, None
1000015, None, None
1000016, None, None
1000017, None, None
1000018, 293.0, 293.0
1000019, 293.0, 293.0
1000020, 293.0, 293.0
1000021, 293.0, 293.0
1000022, None, None
1000023, None, None
1000024, 293.0, 293.0
1000025, None, None
1000026, None, None
1000027, None, None
1000028, None, None
1000029, None, None
1000030, None, None
1000031, 295.0, None
1000032, None, None
1000033, None, None
1000034, None, None
1000035, None, None
1000036, None, None
1000037, None, None
1000038, None, None
1000039, None, None
1000040, None, None
1000041, None, None
1000042, None, None
1000043, None, None
1000044, None, None
1000045, None, None
1000046, None, None
1000047, None, None
1000048, None, None
1000049, None, None
1000050, None, None
1000051, None, None
1000052, None, None
1000053, None, None
1000054, None, None
1000055, None, None
1000056, None, None
1000057, None, None
1000058, None, None
1000059, None, None
1000060, None, None
1000061, None, None
1000062, None, None
1000063, None, None
1000064, None, None
1000065, None, None
1000066, None, None
1000067, None, None
1000068, None, None
1000069, None, None
1000070, None, None
1000071, None, None
1000072, None, None
1000073, None, None
1000074, None, None
1000075, None, None
1000076, None, None
1000077, None, None
1000078, None, None
1000079, None, None
1000080, None, None
1000081, None, None
1000082, None, None
1000083, None, None
1000084, None, None
1000085, None, None
1000086, None, None
1000087, None, None
1000088, None, None
1000089, None, None
1000090, None, None
1000091, None, None
1000092, None, None
1000093, None, None
1000094, None, None
1000095, None, None
1000096, None, None
1000097, None, None
1000098, None, None
1000099, None, None
