1000013, 2
1000089, 5
1000084, 4
1000018, 5
1000079, 5
1000006, 1
1000092, 4
1000014, 2
1000029, 3
1000047, 2
1000027, 2
1000063, 1
1000097, 5
1000072, 5
1000015, 2
1000017, 5
1000024, 4
1000005, 0
1000096, 3
1000054, 2
1000090, 3
1000008, 2
1000043, 3
1000071, 7
1000044, 3
1000019, 6
1000020, 2
1000003, 4
1000032, 2
1000026, 0
1000037, 2
1000080, 5
1000093, 4
1000088, 5
1000081, 5
1000058, 4
1000036, 2
1000057, 7
1000010, 2
1000007, 2
1000023, 0
1000091, 4
1000074, 5
1000061, 3
1000028, 2
1000040, 2
1000095, 3
1000077, 4
1000062, 2
1000064, 4
1000021, 3
1000056, 6
1000085, 3
1000051, 2
1000053, 3
1000070, 3
1000004, 0
1000065, 3
1000025, 3
1000098, 3
1000022, 3
1000009, 2
1000002, 5
1000030, 6
1000041, 2
1000068, 3
1000083, 4
1000075, 3
1000060, 2
1000099, 4
1000049, 3
1000059, 4
1000078, 4
1000033, 1
1000048, 4
1000087, 5
1000046, 2
1000016, 2
1000076, 3
1000045, 2
1000086, 5
1000067, 3
1000050, 1
1000012, 2
1000039, 2
1000000, 4
1000031, 7
1000055, 1
1000094, 2
1000038, 2
1000042, 1
1000034, 2
1000073, 5
1000052, 2
1000066, 7
1000035, 3
1000001, 4
1000011, 2
1000069, 3
1000082, 3
